document_id,sha256,path,relative_path,filename,stem,extension,size_bytes,size_mb,created_at,modified_at,page_count,encrypted,pdf_version,title,author,subject,creator,producer,status,error
415c1ac896f59486,415c1ac896f594865c2f1f427d7b4f504e5a402b32f063e99acda5d7ff8a4ea6,D:\baseia_v3\corpus\00 - Preço de Liquidação das Diferenças_2023.3.1_2023-JAN.pdf,00 - Preço de Liquidação das Diferenças_2023.3.1_2023-JAN.pdf,00 - Preço de Liquidação das Diferenças_2023.3.1_2023-JAN.pdf,00 - Preço de Liquidação das Diferenças_2023.3.1_2023-JAN,.pdf,1890470,1.8029,2026-07-27T23:59:49.566359+00:00,2026-05-23T14:23:14.747958+00:00,25.0,False,1.7,Microsoft Word - 00 - Preço de Liquidação das Diferenças_2023.3.1_2023-JAN.docx,rcarneiro,,,Microsoft: Print To PDF,ok,
ff4ca23d0f16d57f,ff4ca23d0f16d57f82f5b2446f2ae3dafc72166d260a07579024d04950278146,D:\baseia_v3\corpus\010+n7+BJD.pdf,010+n7+BJD.pdf,010+n7+BJD.pdf,010+n7+BJD,.pdf,575632,0.549,2026-07-28T00:00:16.726151+00:00,2026-05-29T03:12:20.614433+00:00,19.0,False,1.3,ISSN: 2525-8761,Priscila Viégas,,Microsoft® Word 2019,Microsoft® Word 2019,ok,
ce2c31a603353dbd,ce2c31a603353dbdac0bde49e43b3149ada42e15aba926486ba4367c6b50aba8,D:\baseia_v3\corpus\0605582v2.pdf,0605582v2.pdf,0605582v2.pdf,0605582v2,.pdf,335288,0.3198,2026-07-28T00:00:16.798797+00:00,2026-04-21T06:19:56.213753+00:00,24.0,False,1.4,Bayesian analysis for reversible Markov chains,"Persi Diaconis, Silke W. W. Rolles","The Annals of Statistics, 2006, Vol.34, No.3, 1270--1292",LaTeX with hyperref package,dvips + GPL Ghostscript GIT PRERELEASE 9.22,ok,
39f7076074f617aa,39f7076074f617aa8d5c6d6c281f19ba49104c58ef29041420e3c3c051f0340a,D:\baseia_v3\corpus\1-s2.0-S0169207014001083-main.pdf,1-s2.0-S0169207014001083-main.pdf,1-s2.0-S0169207014001083-main.pdf,1-s2.0-S0169207014001083-main,.pdf,3041424,2.9005,2026-07-28T00:00:16.799798+00:00,2026-04-21T06:23:38.194731+00:00,52.0,False,1.7,Electricity price forecasting: A review of the state-of-the-art with a look into the future,Rafał Weron,"International Journal of Forecasting, 30 (2014) 1030-1081. doi:10.1016/j.ijforecast.2014.08.008",Elsevier,pdfTeX-1.40.3,ok,
974bbe22ff347665,974bbe22ff347665410c629724e75ee83af3108a9fdef4e4002d1218af8f2049,D:\baseia_v3\corpus\1-s2.0-S2666546824000880-main.pdf,1-s2.0-S2666546824000880-main.pdf,1-s2.0-S2666546824000880-main.pdf,1-s2.0-S2666546824000880-main,.pdf,4962478,4.7326,2026-07-28T00:00:16.728151+00:00,2026-04-08T10:59:50.269761+00:00,14.0,False,1.7,Probabilistic simulation of electricity price scenarios using Conditional Generative Adversarial Networks,Viktor Walter,"Energy and AI, 18 (2024) 100422. doi:10.1016/j.egyai.2024.100422",Elsevier,Acrobat Distiller 8.1.0 (Windows),ok,
b1458713bef9081d,b1458713bef9081d910eea82e0936e3b72e201ec24401f5639df77e2403e7a8e,D:\baseia_v3\corpus\10.1001_jama.292.19.2372.pdf,10.1001_jama.292.19.2372.pdf,10.1001_jama.292.19.2372.pdf,10.1001_jama.292.19.2372,.pdf,155733,0.1485,2026-07-28T01:05:22.856378+00:00,2026-07-28T01:05:22.857378+00:00,7.0,True,1.4,,,,Aspose Ltd.,Aspose.Pdf for .NET 8.3.0,ok,
0bce5a8831657f3f,0bce5a8831657f3f6a87a17285ba86164bda009b7ca58d43448f5f7bbfe404a7,D:\baseia_v3\corpus\10.1002_(SICI)1099-1158(199704)2_2_145__AID-JFE37_3.0.CO;2-V.pdf,10.1002_(SICI)1099-1158(199704)2_2_145__AID-JFE37_3.0.CO;2-V.pdf,10.1002_(SICI)1099-1158(199704)2_2_145__AID-JFE37_3.0.CO;2-V.pdf,10.1002_(SICI)1099-1158(199704)2_2_145__AID-JFE37_3.0.CO;2-V,.pdf,83428,0.0796,2026-07-28T01:05:22.449810+00:00,2026-07-28T01:05:22.450832+00:00,6.0,False,1.2,"Exchange Rate Risk, Export and Hedging",,,,PDFlib PLOP 2.0.0p6 (SunOS)/Acrobat Distiller 2.0 for Windows,ok,
fb9a8c1970a08939,fb9a8c1970a08939cd39945044c0fbb1bd305bad84a33f1fb7129ee4c19396ac,D:\baseia_v3\corpus\10.1002_(SICI)1099-1158(200004)5_2_155__AID-IJFE121_3.0.CO;2-Q.pdf,10.1002_(SICI)1099-1158(200004)5_2_155__AID-IJFE121_3.0.CO;2-Q.pdf,10.1002_(SICI)1099-1158(200004)5_2_155__AID-IJFE121_3.0.CO;2-Q.pdf,10.1002_(SICI)1099-1158(200004)5_2_155__AID-IJFE121_3.0.CO;2-Q,.pdf,175195,0.1671,2026-07-28T01:05:22.461159+00:00,2026-07-28T01:05:22.462158+00:00,10.0,False,1.2,UK metal and energy basis variation and a common source of risk: a note,,,,PDFlib PLOP 2.0.0p6 (SunOS)/Acrobat Distiller 3.01 for Windows,ok,
7680d9223f651a0c,7680d9223f651a0ccd34896bda5f5aa899708cb0e9793afa15194597bae53104,D:\baseia_v3\corpus\10.1002_1096-9934(200102)21_2_145__AID-FUT3_3.0.CO;2-C.pdf,10.1002_1096-9934(200102)21_2_145__AID-FUT3_3.0.CO;2-C.pdf,10.1002_1096-9934(200102)21_2_145__AID-FUT3_3.0.CO;2-C.pdf,10.1002_1096-9934(200102)21_2_145__AID-FUT3_3.0.CO;2-C,.pdf,161320,0.1538,2026-07-28T01:05:22.866377+00:00,2026-07-28T01:05:22.867379+00:00,28.0,False,1.2,Hedging multiple price and quantity exposures,,,,PDFlib PLOP 2.0.0p6 (SunOS)/Acrobat Distiller 4.05 for Windows,ok,
48469abb82dba672,48469abb82dba6727d79e257d68b317785fc2ffe191aca60433a14d432ba3e54,D:\baseia_v3\corpus\10.1002_14651858.CD012292.pub2.pdf,10.1002_14651858.CD012292.pub2.pdf,10.1002_14651858.CD012292.pub2.pdf,10.1002_14651858.CD012292.pub2,.pdf,6983340,6.6598,2026-07-28T01:05:23.099714+00:00,2026-07-28T01:05:23.101715+00:00,329.0,False,1.4,,,,Apache FOP Version 2.3,Apache FOP Version 2.3,ok,
