block_collection,key,document_count,occurrence_count
discarded_blocks,bbox,5,61
discarded_blocks,index,5,61
discarded_blocks,lines,5,61
discarded_blocks,score,5,61
discarded_blocks,type,5,61
para_blocks,bbox,5,408
para_blocks,index,5,408
para_blocks,score,5,408
para_blocks,type,5,408
para_blocks,lines,5,340
para_blocks,bbox_fs,5,216
para_blocks,level,5,69
para_blocks,blocks,5,68
para_blocks,lines_deleted,4,5
preproc_blocks,bbox,5,408
preproc_blocks,index,5,408
preproc_blocks,score,5,408
preproc_blocks,type,5,408
preproc_blocks,lines,5,340
preproc_blocks,level,5,69
preproc_blocks,blocks,5,68
