block_collection,block_type,count,score_count,score_min,score_mean,score_median,score_max
discarded_blocks,page_number,36,36,0.8167,0.86115,0.86205,0.8919
discarded_blocks,header,14,14,0.4931,0.8671571428571428,0.90635,0.9728
discarded_blocks,footer,11,11,0.898,0.9315272727272728,0.9357,0.9565
para_blocks,list,1,1,0.7053,0.7053,0.7053,0.7053
para_blocks,title,69,69,0.5168,0.8875492753623188,0.9351,0.9671
para_blocks,ref_text,48,48,0.7939,0.9497166666666667,0.9597,0.9768
para_blocks,text,215,215,0.46,0.9564548837209302,0.9799,0.9887
para_blocks,interline_equation,4,4,0.9572,0.9621999999999999,0.9594499999999999,0.9727
para_blocks,image,38,38,0.9047,0.9704526315789475,0.97755,0.9886
para_blocks,abstract,3,3,0.9681,0.9720333333333334,0.9682,0.9798
para_blocks,chart,20,20,0.956,0.9748950000000001,0.97555,0.9848
para_blocks,table,10,10,0.9592,0.98284,0.9863999999999999,0.9892
preproc_blocks,title,69,69,0.5168,0.8875492753623188,0.9351,0.9671
preproc_blocks,ref_text,48,48,0.7939,0.9497166666666667,0.9597,0.9768
preproc_blocks,text,216,216,0.46,0.9552921296296296,0.9799,0.9887
preproc_blocks,interline_equation,4,4,0.9572,0.9621999999999999,0.9594499999999999,0.9727
preproc_blocks,image,38,38,0.9047,0.9704526315789475,0.97755,0.9886
preproc_blocks,abstract,3,3,0.9681,0.9720333333333334,0.9682,0.9798
preproc_blocks,chart,20,20,0.956,0.9748950000000001,0.97555,0.9848
preproc_blocks,table,10,10,0.9592,0.98284,0.9863999999999999,0.9892
