block_collection,block_type,count
discarded_blocks,page_number,36
discarded_blocks,header,14
discarded_blocks,footer,11
para_blocks,text,215
para_blocks,title,69
para_blocks,ref_text,48
para_blocks,image,38
para_blocks,chart,20
para_blocks,table,10
para_blocks,interline_equation,4
para_blocks,abstract,3
para_blocks,list,1
preproc_blocks,text,216
preproc_blocks,title,69
preproc_blocks,ref_text,48
preproc_blocks,image,38
preproc_blocks,chart,20
preproc_blocks,table,10
preproc_blocks,interline_equation,4
preproc_blocks,abstract,3
