document_id,filename,middle_path,block_collection,page_index,page_number,block_index,block_type,level,score,line_count,span_count,text,text_length,has_bbox,has_bbox_fs,lines_deleted,has_blocks,has_image_path,has_html,has_latex,x0,y0,x1,y1,width,height,area
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,3,title,1.0,0.9462,1,1,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI,49,True,False,False,False,False,False,False,164.0,136.0,425.0,149.0,261.0,13.0,3393.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,4,title,1.0,0.9652,2,2,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO,107,True,False,False,False,False,False,False,74.0,167.0,515.0,190.0,441.0,23.0,10143.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,5,text,,0.7053,5,5,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3),305,True,False,False,False,False,False,False,69.0,209.0,516.0,263.0,447.0,54.0,24138.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,6,title,2.0,0.9274,1,1,RESUMO,6,True,False,False,False,False,False,False,65.0,281.0,109.0,293.0,44.0,12.0,528.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,7,abstract,,0.9682,5,5,"Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país.",511,True,False,False,False,False,False,False,64.0,298.0,533.0,352.0,469.0,54.0,25326.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,8,title,2.0,0.9336,1,1,PALAVRAS-CHAVE,14,True,False,False,False,False,False,False,65.0,366.0,150.0,378.0,85.0,12.0,1020.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,9,text,,0.9438,1,1,Mobilidade elétrica; veículo elétrico; serviços de manutenção; recarga de oportunidade.,87,True,False,False,False,False,False,False,65.0,382.0,417.0,395.0,352.0,13.0,4576.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,10,title,2.0,0.9376,1,1,1.0 INTRODUÇÃO,14,True,False,False,False,False,False,False,66.0,403.0,145.0,415.0,79.0,12.0,948.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,11,text,,0.9876,8,8,"Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado, através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in.",839,True,False,False,False,False,False,False,64.0,420.0,533.0,505.0,469.0,85.0,39865.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,12,text,,0.9868,6,6,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de soluções em eletroeletrônicos) propuseram a realização de um projeto de P&D para o Desenvolvimento de Caminhão Elétrico para Manutenção de Redes de Distribuição, com conjunto inteligente para o gerenciamento da recarga e sistema seguro e eficiente para recargas do veículo na própria rede da concessionária [3].",648,True,False,False,False,False,False,False,64.0,509.0,533.0,573.0,469.0,64.0,30016.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,13,text,,0.9789,4,4,"Desta forma, neste trabalho estão apresentadas as etapas realizadas para a implementação de inovações no caminhão elétrico comercializado internacionalmente para aplicação em manutenção de redes de distribuição, o que inclui a integração de braço hidráulico e cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária.",392,True,False,False,False,False,False,False,64.0,577.0,533.0,620.0,469.0,43.0,20167.0
