filename,page_number,block_index,block_type,score,line_count,span_count,text,x0,y0,x1,y1
GDI_0685.pdf,1,1,header,0.9276,4,4,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE,66.0,34.0,250.0,76.0
GDI_0685.pdf,1,2,header,0.8573,2,2,0685 GDI/7,497.0,39.0,525.0,67.0
GDI_0685.pdf,1,17,footer,0.9304,1,1,ana.oening@lactec.com.br,240.0,789.0,358.0,801.0
GDI_0685.pdf,2,1,page_number,0.8665,1,1,2,295.0,36.0,303.0,45.0
GDI_0685.pdf,3,1,page_number,0.8621,1,1,3,295.0,36.0,303.0,45.0
GDI_0685.pdf,4,1,page_number,0.8569,1,1,4,295.0,36.0,303.0,45.0
GDI_0685.pdf,5,1,page_number,0.8647,1,1,5,295.0,36.0,303.0,45.0
GDI_0685.pdf,6,1,page_number,0.8778,1,1,6,295.0,36.0,303.0,45.0
GDI_0685.pdf,7,1,page_number,0.8504,1,1,7,295.0,36.0,302.0,45.0
GDI_0685.pdf,8,1,page_number,0.8584,1,1,8,295.0,36.0,302.0,45.0
GDI_0685.pdf,9,1,page_number,0.864,1,1,9,295.0,36.0,303.0,45.0
GGH9.pdf,1,1,header,0.9636,5,5,XXIIISNPTEE Samirsáulo Nectonal de Produçião B Trananbsão de Enargla Bétrioa 16 a 21 de cukbro de Z016 | Foedo lguepa | PR,72.0,90.0,192.0,167.0
GGH9.pdf,1,2,header,0.9728,5,5,XXIII SNPTEE SEMINÁRIO NACIONAL DE PRODUÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA,204.0,107.0,308.0,160.0
GGH9.pdf,1,3,header,0.9659,3,3,FI/GGH/09 18 a 21 de Outubro de 2015 Foz do Iguaçu - PR,419.0,118.0,534.0,151.0
GGH9.pdf,1,17,footer,0.9565,2,2,"(*) Av. Charles Schneider, s/n˚ – CEP 12.040-001 Taubaté, SP, Brasil. Tel: (+55 12) 3608-3029 – Fax: (+55 12) 3608-3192 – Email: cornelis.poel@power.alstom.com",104.0,778.0,484.0,801.0
GGH9.pdf,2,1,page_number,0.8579,1,1,2,295.0,36.0,303.0,45.0
GGH9.pdf,3,1,page_number,0.8709,1,1,3,295.0,36.0,303.0,45.0
GGH9.pdf,4,1,page_number,0.844,1,1,4,295.0,36.0,303.0,45.0
GGH9.pdf,5,1,page_number,0.855,1,1,5,295.0,36.0,303.0,45.0
GGH9.pdf,6,1,page_number,0.8669,1,1,6,295.0,36.0,303.0,45.0
GGH9.pdf,7,1,page_number,0.8311,1,1,7,295.0,36.0,303.0,45.0
GGH9.pdf,8,1,page_number,0.8628,1,1,8,295.0,36.0,303.0,45.0
GGT_1247.pdf,1,1,header,0.9476,1,1,XXVI SNPTEE,73.0,43.0,132.0,85.0
GGT_1247.pdf,1,2,header,0.915,2,2,Produção e Transmissão de Energia Elétrica,139.0,43.0,268.0,85.0
GGT_1247.pdf,1,3,header,0.8252,2,2,1247 GGT/16,492.0,51.0,528.0,78.0
GGT_1247.pdf,1,18,footer,0.9326,1,1,joaohpazevedo@gmail.com,239.0,789.0,360.0,801.0
GGT_1247.pdf,2,1,page_number,0.8611,1,1,2,295.0,36.0,303.0,45.0
GGT_1247.pdf,3,1,page_number,0.8606,1,1,3,295.0,36.0,303.0,45.0
GGT_1247.pdf,4,1,page_number,0.8592,1,1,4,295.0,36.0,302.0,45.0
GGT_1247.pdf,5,1,page_number,0.8693,1,1,5,295.0,36.0,303.0,45.0
GGT_1247.pdf,6,1,page_number,0.8678,1,1,6,295.0,36.0,303.0,45.0
GGT_1247.pdf,7,1,page_number,0.8446,1,1,7,295.0,36.0,303.0,45.0
GGT_1247.pdf,7,12,footer,0.898,1,1,6.0 CONCLUSÃO,65.0,736.0,144.0,748.0
GGT_1247.pdf,8,1,page_number,0.873,1,1,8,295.0,36.0,303.0,45.0
GGT_1247.pdf,9,1,page_number,0.8528,1,1,9,295.0,36.0,302.0,45.0
GGT_1247.pdf,10,1,page_number,0.8919,1,1,10,293.0,36.0,306.0,45.0
GTL_0081.pdf,1,1,header,0.8037,4,4,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE,66.0,34.0,250.0,76.0
GTL_0081.pdf,1,2,header,0.733,2,2,0081 GTL/4,495.0,39.0,525.0,68.0
GTL_0081.pdf,1,17,footer,0.9357,1,1,claudio.cabral@eletronorte.com.br,223.0,789.0,375.0,800.0
GTL_0081.pdf,1,18,footer,0.9065,1,1,CLASSIFICAÇÃO: PÚBLICA,233.0,812.0,360.0,826.0
GTL_0081.pdf,2,1,page_number,0.869,1,1,2,295.0,36.0,303.0,45.0
GTL_0081.pdf,2,14,footer,0.9487,1,1,CLASSIFICAÇÃO: PÚBLICA,233.0,812.0,360.0,826.0
GTL_0081.pdf,3,1,page_number,0.8722,1,1,3,295.0,36.0,303.0,46.0
GTL_0081.pdf,3,11,footer,0.9445,1,1,CLASSIFICAÇÃO: PÚBLICA,234.0,812.0,360.0,826.0
GTL_0081.pdf,4,1,page_number,0.8167,1,1,4,295.0,36.0,303.0,45.0
GTL_0081.pdf,4,2,footer,0.9083,1,1,CLASSIFICAÇÃO: PÚBLICA,234.0,813.0,360.0,826.0
GTL_0081.pdf,5,1,page_number,0.8825,1,1,5,295.0,35.0,303.0,45.0
GTL_0081.pdf,5,14,footer,0.9472,1,1,CLASSIFICAÇÃO: PÚBLICA,234.0,812.0,360.0,826.0
GTM10.pdf,1,1,header,0.9563,1,1,XXIVSNPTEE,89.0,96.0,201.0,192.0
