filename,block_collection,block_index,block_type,level,score,line_count,span_count,x0,y0,x1,y1,text
GDI_0685.pdf,discarded_blocks,1,header,,0.9276,4,4,66.0,34.0,250.0,76.0,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE
GDI_0685.pdf,discarded_blocks,2,header,,0.8573,2,2,497.0,39.0,525.0,67.0,0685 GDI/7
GDI_0685.pdf,para_blocks,3,title,1.0,0.9462,1,1,164.0,136.0,425.0,149.0,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI
GDI_0685.pdf,preproc_blocks,3,title,1.0,0.9462,1,1,164.0,136.0,425.0,149.0,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI
GDI_0685.pdf,para_blocks,4,title,1.0,0.9652,2,2,74.0,167.0,515.0,190.0,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO
GDI_0685.pdf,preproc_blocks,4,title,1.0,0.9652,2,2,74.0,167.0,515.0,190.0,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO
GDI_0685.pdf,para_blocks,5,list,,0.7053,5,5,69.0,209.0,516.0,263.0,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GDI_0685.pdf,preproc_blocks,5,text,,0.7053,5,5,69.0,209.0,516.0,263.0,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GDI_0685.pdf,para_blocks,6,title,2.0,0.9274,1,1,65.0,281.0,109.0,293.0,RESUMO
GDI_0685.pdf,preproc_blocks,6,title,2.0,0.9274,1,1,65.0,281.0,109.0,293.0,RESUMO
GDI_0685.pdf,para_blocks,7,abstract,,0.9682,5,5,64.0,298.0,533.0,352.0,"Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país."
GDI_0685.pdf,preproc_blocks,7,abstract,,0.9682,5,5,64.0,298.0,533.0,352.0,"Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país."
GDI_0685.pdf,para_blocks,8,title,2.0,0.9336,1,1,65.0,366.0,150.0,378.0,PALAVRAS-CHAVE
GDI_0685.pdf,preproc_blocks,8,title,2.0,0.9336,1,1,65.0,366.0,150.0,378.0,PALAVRAS-CHAVE
GDI_0685.pdf,para_blocks,9,text,,0.9438,1,1,65.0,382.0,417.0,395.0,Mobilidade elétrica; veículo elétrico; serviços de manutenção; recarga de oportunidade.
GDI_0685.pdf,preproc_blocks,9,text,,0.9438,1,1,65.0,382.0,417.0,395.0,Mobilidade elétrica; veículo elétrico; serviços de manutenção; recarga de oportunidade.
GDI_0685.pdf,para_blocks,10,title,2.0,0.9376,1,1,66.0,403.0,145.0,415.0,1.0 INTRODUÇÃO
GDI_0685.pdf,preproc_blocks,10,title,2.0,0.9376,1,1,66.0,403.0,145.0,415.0,1.0 INTRODUÇÃO
GDI_0685.pdf,para_blocks,11,text,,0.9876,8,8,64.0,420.0,533.0,505.0,"Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado, através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in."
GDI_0685.pdf,preproc_blocks,11,text,,0.9876,8,8,64.0,420.0,533.0,505.0,"Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado, através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in."
GDI_0685.pdf,para_blocks,12,text,,0.9868,6,6,64.0,509.0,533.0,573.0,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de soluções em eletroeletrônicos) propuseram a realização de um projeto de P&D para o Desenvolvimento de Caminhão Elétrico para Manutenção de Redes de Distribuição, com conjunto inteligente para o gerenciamento da recarga e sistema seguro e eficiente para recargas do veículo na própria rede da concessionária [3]."
GDI_0685.pdf,preproc_blocks,12,text,,0.9868,6,6,64.0,509.0,533.0,573.0,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de soluções em eletroeletrônicos) propuseram a realização de um projeto de P&D para o Desenvolvimento de Caminhão Elétrico para Manutenção de Redes de Distribuição, com conjunto inteligente para o gerenciamento da recarga e sistema seguro e eficiente para recargas do veículo na própria rede da concessionária [3]."
GDI_0685.pdf,para_blocks,13,text,,0.9789,4,4,64.0,577.0,533.0,620.0,"Desta forma, neste trabalho estão apresentadas as etapas realizadas para a implementação de inovações no caminhão elétrico comercializado internacionalmente para aplicação em manutenção de redes de distribuição, o que inclui a integração de braço hidráulico e cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária."
GDI_0685.pdf,preproc_blocks,13,text,,0.9789,4,4,64.0,577.0,533.0,620.0,"Desta forma, neste trabalho estão apresentadas as etapas realizadas para a implementação de inovações no caminhão elétrico comercializado internacionalmente para aplicação em manutenção de redes de distribuição, o que inclui a integração de braço hidráulico e cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária."
GDI_0685.pdf,para_blocks,14,title,2.0,0.9397,1,1,65.0,628.0,174.0,640.0,2.0 DESENVOLVIMENTO
GDI_0685.pdf,preproc_blocks,14,title,2.0,0.9397,1,1,65.0,628.0,174.0,640.0,2.0 DESENVOLVIMENTO
