document_id,filename,block_collection,page_index,page_number,block_index,block_type,score,image_paths,text,bbox
gdi_0685,GDI_0685.pdf,preproc_blocks,1,2,2,image,0.9871,196ae709b1349e325272ed6018ae96464560f8fa7303afd0edb42d2a2a754d9e.jpg,,"[191, 84, 407, 223]"
gdi_0685,GDI_0685.pdf,preproc_blocks,1,2,6,image,0.9798,1228544f4c78c48c9308698d79092b6b9540e321b548a23a6f85a987183ccfe7.jpg,,"[142, 463, 453, 643]"
gdi_0685,GDI_0685.pdf,preproc_blocks,1,2,9,table,0.9851,31c09c6d92f6710149776c78dce50432ad53ea940064bf1b4d4864a9f5c4bbbc.jpg,,"[194, 681, 403, 754]"
gdi_0685,GDI_0685.pdf,preproc_blocks,2,3,9,image,0.9653,b5e6440d55206619f6812d3bb5f0d70b9ce59712fb2c32f2fa2cdd5e0d873c3d.jpg,,"[119, 446, 478, 611]"
gdi_0685,GDI_0685.pdf,preproc_blocks,3,4,3,image,0.985,e0ec3dde4e586867fe638f31c222020a29f665e042608023d1317b5ba81d258b.jpg,,"[99, 131, 498, 266]"
gdi_0685,GDI_0685.pdf,preproc_blocks,3,4,15,image,0.907,ecdc68fc52053ce39cae466e4b510e0b27c86ca73ac2c86cb1736234254227fb.jpg,,"[72, 509, 525, 659]"
gdi_0685,GDI_0685.pdf,preproc_blocks,4,5,2,image,0.972,4a0a1e4fbae24703d33988d3ac68db8ab7e7f71e70d4167e61e41e1daa77edf1.jpg,,"[66, 85, 237, 313]"
gdi_0685,GDI_0685.pdf,preproc_blocks,4,5,3,image,0.9835,a7296f76681aade80c1274fde44c48517c6e6287dda7cf427d34fea89c790d24.jpg,,"[239, 84, 526, 313]"
gdi_0685,GDI_0685.pdf,preproc_blocks,4,5,7,image,0.9226,6f277e8f2020a5dc69dba7b4d3d45e40095464713ac0d66c24e988a62bc63688.jpg,,"[83, 483, 226, 696]"
gdi_0685,GDI_0685.pdf,preproc_blocks,4,5,8,image,0.9535,fa6be22987ae867a7b87f2c215040dd67ff4ea44cd25d4f199c0c34d109926d9.jpg,,"[227, 483, 370, 697]"
gdi_0685,GDI_0685.pdf,preproc_blocks,4,5,10,image,0.9047,db6128f9569bc410252e9277e70e56fc3f88ac6c6982a906f2d60d9324219963.jpg,,"[371, 483, 514, 696]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,5,image,0.9765,f7c9b600db1cb734a48fffe6e56f751179e047ed090dcb05e5e6671b41dcd93d.jpg,,"[68, 189, 211, 358]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,6,image,0.9767,ceacb203233f3254f0c7cd8cd11c50a0fa14f9619e96bf46b713256d06b7faa7.jpg,,"[212, 189, 358, 358]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,7,image,0.9807,070e30be0c91896c623fd6e3a0760b8a2b1cd244fd0a9f4040c6b272a0874266.jpg,,"[359, 191, 529, 358]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,10,image,0.9823,867f07f8bf248f0d4eb5ae3d45454e3282efff28885d8bde451a2fd2f7acb561.jpg,,"[68, 441, 278, 603]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,11,image,0.9743,772753bdef83286b8dc1b6782e65561d2f67589c3509322bc30ac9760dc5dd82.jpg,,"[280, 442, 392, 604]"
gdi_0685,GDI_0685.pdf,preproc_blocks,5,6,12,image,0.9741,c316844356ff3de19fc2bc50d10573dbb8d6a20b4833d0ea94245c2c9e00163f.jpg,,"[393, 442, 531, 603]"
gdi_0685,GDI_0685.pdf,preproc_blocks,6,7,3,table,0.9877,a5eb75c41200c35f68490963e723cae78c38c6d21aa0c2bb717b2b7d4c5b519a.jpg,,"[93, 98, 504, 215]"
gdi_0685,GDI_0685.pdf,preproc_blocks,8,9,3,image,0.9792,032d02c046436cfaf7853d52077a241fbf6e0bfdc931e93ce2320153dd8b58f8.jpg,,"[72, 104, 145, 196]"
gdi_0685,GDI_0685.pdf,para_blocks,1,2,2,image,0.9871,196ae709b1349e325272ed6018ae96464560f8fa7303afd0edb42d2a2a754d9e.jpg,,"[191, 84, 407, 223]"
gdi_0685,GDI_0685.pdf,para_blocks,1,2,6,image,0.9798,1228544f4c78c48c9308698d79092b6b9540e321b548a23a6f85a987183ccfe7.jpg,,"[142, 463, 453, 643]"
gdi_0685,GDI_0685.pdf,para_blocks,1,2,9,table,0.9851,31c09c6d92f6710149776c78dce50432ad53ea940064bf1b4d4864a9f5c4bbbc.jpg,,"[194, 681, 403, 754]"
