filename,block_collection,page_number,block_index,block_type,score,text
GTM10.pdf,preproc_blocks,1,9,text,0.46,Luiz Fernando de Oliveira (*) Álvaro Portillo
GTM10.pdf,para_blocks,1,9,text,0.46,Luiz Fernando de Oliveira (*) Álvaro Portillo
GTL_0081.pdf,preproc_blocks,5,7,text,0.4844,(3) SIDNEY FERREIRA PINTO
GTL_0081.pdf,para_blocks,5,7,text,0.4844,(3) SIDNEY FERREIRA PINTO
GGT_1247.pdf,preproc_blocks,5,2,text,0.4853,Figura 1 - Comparação do comportamento dos poderes caloríficos por unidade de massa e volume de acordo com a porcentagem de hidrogênio na mistura.
GGT_1247.pdf,para_blocks,5,2,text,0.4853,Figura 1 - Comparação do comportamento dos poderes caloríficos por unidade de massa e volume de acordo com a porcentagem de hidrogênio na mistura.
GTM10.pdf,discarded_blocks,1,4,header,0.4931,22 a 25 de outubro de 2017
GTM10.pdf,preproc_blocks,2,4,title,0.5168,2.0 - COMPARATIVO ENTRE OS MÉTODOS EXPONENCIAL E DIFERENCIAL
GTM10.pdf,para_blocks,2,4,title,0.5168,2.0 - COMPARATIVO ENTRE OS MÉTODOS EXPONENCIAL E DIFERENCIAL
GTL_0081.pdf,preproc_blocks,1,4,title,0.5727,CENTRO VIRTUAL DE OPERAÇÃO
GTL_0081.pdf,para_blocks,1,4,title,0.5727,CENTRO VIRTUAL DE OPERAÇÃO
GTM10.pdf,preproc_blocks,1,15,title,0.573,PALAVRAS-CHAVE
GTM10.pdf,para_blocks,1,15,title,0.573,PALAVRAS-CHAVE
GGT_1247.pdf,preproc_blocks,5,8,title,0.5782,4.3 As emissões de GEE decorrentes da mistura de hidrogênio ao gás natura
GGT_1247.pdf,para_blocks,5,8,title,0.5782,4.3 As emissões de GEE decorrentes da mistura de hidrogênio ao gás natura
GTM10.pdf,preproc_blocks,1,5,text,0.5957,Curitiba - PR
GTM10.pdf,para_blocks,1,5,text,0.5957,Curitiba - PR
GGH9.pdf,preproc_blocks,1,13,title,0.61,PALAVRAS-CHAVE
GGH9.pdf,para_blocks,1,13,title,0.61,PALAVRAS-CHAVE
GTM10.pdf,preproc_blocks,1,12,title,0.6618,WEG – WTD Transformadores
GTM10.pdf,para_blocks,1,12,title,0.6618,WEG – WTD Transformadores
GTL_0081.pdf,preproc_blocks,5,2,title,0.6885,DADOS BIOGRÁFICOS
GTL_0081.pdf,para_blocks,5,2,title,0.6885,DADOS BIOGRÁFICOS
GDI_0685.pdf,preproc_blocks,1,5,text,0.7053,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GDI_0685.pdf,para_blocks,1,5,list,0.7053,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GTM10.pdf,preproc_blocks,1,6,text,0.7177,GRUPO - XIII
GTM10.pdf,para_blocks,1,6,text,0.7177,GRUPO - XIII
GTL_0081.pdf,preproc_blocks,5,6,text,0.7199,no uso e configuração do Sistema Aberto de Gerenciamento de Energia - SAGE
GTL_0081.pdf,para_blocks,5,6,text,0.7199,
GTM10.pdf,preproc_blocks,1,8,title,0.7294,CONDIÇÕES DE SOBRECARGA E IMPLICAÇÕES DA NBR 5356-7 DURANTE O DESIGN REVIEW DE TRANSFORMADORES
GTM10.pdf,para_blocks,1,8,title,0.7294,CONDIÇÕES DE SOBRECARGA E IMPLICAÇÕES DA NBR 5356-7 DURANTE O DESIGN REVIEW DE TRANSFORMADORES
GTL_0081.pdf,discarded_blocks,1,2,header,0.733,0081 GTL/4
GTM10.pdf,preproc_blocks,9,2,title,0.7603,8.0 - DADOS BIOGRÁFICOS
GTM10.pdf,para_blocks,9,2,title,0.7603,8.0 - DADOS BIOGRÁFICOS
GGH9.pdf,preproc_blocks,1,4,text,0.7677,GRUPO - I
GGH9.pdf,para_blocks,1,4,text,0.7677,GRUPO - I
GGT_1247.pdf,preproc_blocks,8,6,ref_text,0.7939,"(1) ABNT. Gás Natural – NBR 15213 – Cálculo de propriedades físico-químicas a partir da composição, 2008 (2) ANP. RESOLUÇÃO ANP No 16, DE 17.6.2008 - DOU 18.6.2008), 2008"
GGT_1247.pdf,para_blocks,8,6,ref_text,0.7939,"(1) ABNT. Gás Natural – NBR 15213 – Cálculo de propriedades físico-químicas a partir da composição, 2008 (2) ANP. RESOLUÇÃO ANP No 16, DE 17.6.2008 - DOU 18.6.2008), 2008"
GTM10.pdf,preproc_blocks,1,7,title,0.7989,"GRUPO DE ESTUDO DE TRANSFORMADORES, REATORES, MATERIAIS E TECNOLOGIAS EMERGENTES - GTM"
GTM10.pdf,para_blocks,1,7,title,0.7989,"GRUPO DE ESTUDO DE TRANSFORMADORES, REATORES, MATERIAIS E TECNOLOGIAS EMERGENTES - GTM"
