filename,block_collection,page_number,block_index,block_type,score,text
GDI_0685.pdf,discarded_blocks,1,1,header,0.9276,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE
GDI_0685.pdf,discarded_blocks,1,2,header,0.8573,0685 GDI/7
GDI_0685.pdf,discarded_blocks,1,17,footer,0.9304,ana.oening@lactec.com.br
GDI_0685.pdf,discarded_blocks,2,1,page_number,0.8665,2
GDI_0685.pdf,discarded_blocks,3,1,page_number,0.8621,3
GDI_0685.pdf,discarded_blocks,4,1,page_number,0.8569,4
GDI_0685.pdf,discarded_blocks,5,1,page_number,0.8647,5
GDI_0685.pdf,discarded_blocks,6,1,page_number,0.8778,6
GDI_0685.pdf,discarded_blocks,7,1,page_number,0.8504,7
GDI_0685.pdf,discarded_blocks,8,1,page_number,0.8584,8
GDI_0685.pdf,discarded_blocks,9,1,page_number,0.864,9
GGH9.pdf,discarded_blocks,1,1,header,0.9636,XXIIISNPTEE Samirsáulo Nectonal de Produçião B Trananbsão de Enargla Bétrioa 16 a 21 de cukbro de Z016 | Foedo lguepa | PR
GGH9.pdf,discarded_blocks,1,2,header,0.9728,XXIII SNPTEE SEMINÁRIO NACIONAL DE PRODUÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
GGH9.pdf,discarded_blocks,1,3,header,0.9659,FI/GGH/09 18 a 21 de Outubro de 2015 Foz do Iguaçu - PR
GGH9.pdf,discarded_blocks,1,17,footer,0.9565,"(*) Av. Charles Schneider, s/n˚ – CEP 12.040-001 Taubaté, SP, Brasil. Tel: (+55 12) 3608-3029 – Fax: (+55 12) 3608-3192 – Email: cornelis.poel@power.alstom.com"
GGH9.pdf,discarded_blocks,2,1,page_number,0.8579,2
GGH9.pdf,discarded_blocks,3,1,page_number,0.8709,3
GGH9.pdf,discarded_blocks,4,1,page_number,0.844,4
GGH9.pdf,discarded_blocks,5,1,page_number,0.855,5
GGH9.pdf,discarded_blocks,6,1,page_number,0.8669,6
GGH9.pdf,discarded_blocks,7,1,page_number,0.8311,7
GGH9.pdf,discarded_blocks,8,1,page_number,0.8628,8
GGT_1247.pdf,discarded_blocks,1,1,header,0.9476,XXVI SNPTEE
GGT_1247.pdf,discarded_blocks,1,2,header,0.915,Produção e Transmissão de Energia Elétrica
GGT_1247.pdf,discarded_blocks,1,3,header,0.8252,1247 GGT/16
GGT_1247.pdf,discarded_blocks,1,18,footer,0.9326,joaohpazevedo@gmail.com
GGT_1247.pdf,discarded_blocks,2,1,page_number,0.8611,2
GGT_1247.pdf,discarded_blocks,3,1,page_number,0.8606,3
GGT_1247.pdf,discarded_blocks,4,1,page_number,0.8592,4
GGT_1247.pdf,discarded_blocks,5,1,page_number,0.8693,5
GGT_1247.pdf,discarded_blocks,6,1,page_number,0.8678,6
GGT_1247.pdf,discarded_blocks,7,1,page_number,0.8446,7
GGT_1247.pdf,discarded_blocks,7,12,footer,0.898,6.0 CONCLUSÃO
GGT_1247.pdf,discarded_blocks,8,1,page_number,0.873,8
GGT_1247.pdf,discarded_blocks,9,1,page_number,0.8528,9
GGT_1247.pdf,discarded_blocks,10,1,page_number,0.8919,10
GTL_0081.pdf,discarded_blocks,1,1,header,0.8037,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE
GTL_0081.pdf,discarded_blocks,1,2,header,0.733,0081 GTL/4
GTL_0081.pdf,discarded_blocks,1,17,footer,0.9357,claudio.cabral@eletronorte.com.br
GTL_0081.pdf,discarded_blocks,1,18,footer,0.9065,CLASSIFICAÇÃO: PÚBLICA
GTL_0081.pdf,discarded_blocks,2,1,page_number,0.869,2
GTL_0081.pdf,discarded_blocks,2,14,footer,0.9487,CLASSIFICAÇÃO: PÚBLICA
GTL_0081.pdf,discarded_blocks,3,1,page_number,0.8722,3
GTL_0081.pdf,discarded_blocks,3,11,footer,0.9445,CLASSIFICAÇÃO: PÚBLICA
GTL_0081.pdf,discarded_blocks,4,1,page_number,0.8167,4
GTL_0081.pdf,discarded_blocks,4,2,footer,0.9083,CLASSIFICAÇÃO: PÚBLICA
GTL_0081.pdf,discarded_blocks,5,1,page_number,0.8825,5
GTL_0081.pdf,discarded_blocks,5,14,footer,0.9472,CLASSIFICAÇÃO: PÚBLICA
GTM10.pdf,discarded_blocks,1,1,header,0.9563,XXIVSNPTEE
GTM10.pdf,discarded_blocks,1,2,header,0.8977,XXIV SNPTEE SEMINÁRIO NACIONAL DE RODUÇÃO TRANSMISSÃO DE ENERGIA ELÉTRICA
GTM10.pdf,discarded_blocks,1,3,header,0.8814,CB/GTM/10
GTM10.pdf,discarded_blocks,1,4,header,0.4931,22 a 25 de outubro de 2017
GTM10.pdf,discarded_blocks,1,25,footer,0.9384,"Rua Dr. Pedro Zimmermann, n˚ 6751 – CEP 89068-001 Blumenau, SC – Brasil Tel: (+55 47) 3337-1000 – Fax: (+55 47) 3337-1090 – email: luizo@weg.net"
GTM10.pdf,discarded_blocks,2,1,page_number,0.867,2
GTM10.pdf,discarded_blocks,3,1,page_number,0.8608,3
GTM10.pdf,discarded_blocks,4,1,page_number,0.8483,4
GTM10.pdf,discarded_blocks,5,1,page_number,0.8699,5
GTM10.pdf,discarded_blocks,6,1,page_number,0.8728,6
GTM10.pdf,discarded_blocks,7,1,page_number,0.8486,7
GTM10.pdf,discarded_blocks,8,1,page_number,0.862,8
GTM10.pdf,discarded_blocks,9,1,page_number,0.8619,9
