document_id,filename,page_index,page_number,page_width,page_height,preproc_block_count,para_block_count,discarded_block_count
gdi_0685,GDI_0685.pdf,0,1,595,841,14,14,3
gdi_0685,GDI_0685.pdf,1,2,595,841,5,5,1
gdi_0685,GDI_0685.pdf,2,3,595,841,10,10,1
gdi_0685,GDI_0685.pdf,3,4,595,841,14,14,1
gdi_0685,GDI_0685.pdf,4,5,595,841,7,7,1
gdi_0685,GDI_0685.pdf,5,6,595,841,11,11,1
gdi_0685,GDI_0685.pdf,6,7,595,841,12,12,1
gdi_0685,GDI_0685.pdf,7,8,595,841,5,5,1
gdi_0685,GDI_0685.pdf,8,9,595,841,10,10,1
ggh9,GGH9.pdf,0,1,595,842,13,13,4
ggh9,GGH9.pdf,1,2,595,842,6,6,1
ggh9,GGH9.pdf,2,3,595,842,10,10,1
ggh9,GGH9.pdf,3,4,595,842,8,8,1
ggh9,GGH9.pdf,4,5,595,842,11,11,1
ggh9,GGH9.pdf,5,6,595,842,6,6,1
ggh9,GGH9.pdf,6,7,595,842,5,5,1
ggh9,GGH9.pdf,7,8,595,842,14,14,1
ggt_1247,GGT_1247.pdf,0,1,595,841,14,14,4
ggt_1247,GGT_1247.pdf,1,2,595,841,7,7,1
ggt_1247,GGT_1247.pdf,2,3,595,841,14,14,1
ggt_1247,GGT_1247.pdf,3,4,595,841,13,13,1
ggt_1247,GGT_1247.pdf,4,5,595,841,14,14,1
ggt_1247,GGT_1247.pdf,5,6,595,841,8,8,1
ggt_1247,GGT_1247.pdf,6,7,595,841,6,6,2
ggt_1247,GGT_1247.pdf,7,8,595,841,33,33,1
ggt_1247,GGT_1247.pdf,8,9,595,841,4,4,1
ggt_1247,GGT_1247.pdf,9,10,595,841,8,8,1
gtl_0081,GTL_0081.pdf,0,1,595,841,14,14,4
gtl_0081,GTL_0081.pdf,1,2,595,841,6,6,2
gtl_0081,GTL_0081.pdf,2,3,595,841,8,8,2
gtl_0081,GTL_0081.pdf,3,4,595,841,0,0,2
gtl_0081,GTL_0081.pdf,4,5,595,841,12,12,2
gtm10,GTM10.pdf,0,1,595,842,20,20,5
gtm10,GTM10.pdf,1,2,595,842,8,8,1
gtm10,GTM10.pdf,2,3,595,842,9,9,1
gtm10,GTM10.pdf,3,4,595,842,6,6,1
gtm10,GTM10.pdf,4,5,595,842,5,5,1
gtm10,GTM10.pdf,5,6,595,842,7,7,1
gtm10,GTM10.pdf,6,7,595,842,8,8,1
gtm10,GTM10.pdf,7,8,595,842,12,12,1
gtm10,GTM10.pdf,8,9,595,842,11,11,1
