document_id,filename,block_collection,page_index,page_number,block_index,block_type,score,caption,html,html_length,image_paths,bbox
gdi_0685,GDI_0685.pdf,preproc_blocks,1,2,9,table,0.9851,,<table><tr><td rowspan=1 colspan=1>Distribuiçãode carga</td><td rowspan=1 colspan=1>VeículoCompleto(kg)</td><td rowspan=1 colspan=1>Peso BrutoTotal (kg)</td><td rowspan=1 colspan=1>CONTRAN(kg)</td></tr><tr><td rowspan=1 colspan=1>Eixo dianteiro</td><td rowspan=1 colspan=1>2.966</td><td rowspan=1 colspan=1>3.650</td><td rowspan=1 colspan=1>6.000</td></tr><tr><td rowspan=1 colspan=1>Eixo traseiro</td><td rowspan=1 colspan=1>4.474</td><td rowspan=1 colspan=1>8.150</td><td rowspan=1 colspan=1>10.000</td></tr><tr><td rowspan=1 colspan=1>Total</td><td rowspan=1 colspan=1>7.440</td><td rowspan=1 colspan=1>11.800</td><td rowspan=1 colspan=1>16.000</td></tr></table>,665,31c09c6d92f6710149776c78dce50432ad53ea940064bf1b4d4864a9f5c4bbbc.jpg,"[194, 681, 403, 754]"
gdi_0685,GDI_0685.pdf,preproc_blocks,6,7,3,table,0.9877,,<table><tr><td></td><td>Limeira</td><td>Mairiporã</td></tr><tr><td>Número de dias em movimento</td><td>32</td><td>40</td></tr><tr><td>Distância total percorrida (km)</td><td>1.588</td><td>1.855</td></tr><tr><td>Distância média percorrida (km/dia)</td><td>49</td><td>46</td></tr><tr><td>Distância máxima percorrida (km/dia)</td><td>103</td><td>210</td></tr><tr><td>Tempo total ignição ligada (h)</td><td>368h 29min</td><td>405h</td></tr><tr><td>Tempo médio ignição ligada (h/dia)</td><td>9h 41min</td><td>8h 16min</td></tr><tr><td>Tempo máximo ignição ligada (h/dia)</td><td>23h 59min</td><td>17h 52min</td></tr><tr><td>Tempo total em movimento (h)</td><td>56h 16min</td><td>94h</td></tr><tr><td>Tempo médio em movimento (h/dia)</td><td>1h 47min</td><td>2h 20min</td></tr><tr><td>Tempo máximo em movimento (h/dia)</td><td>3h 32min</td><td>4h 35min</td></tr></table>,864,a5eb75c41200c35f68490963e723cae78c38c6d21aa0c2bb717b2b7d4c5b519a.jpg,"[93, 98, 504, 215]"
gdi_0685,GDI_0685.pdf,para_blocks,1,2,9,table,0.9851,,<table><tr><td rowspan=1 colspan=1>Distribuiçãode carga</td><td rowspan=1 colspan=1>VeículoCompleto(kg)</td><td rowspan=1 colspan=1>Peso BrutoTotal (kg)</td><td rowspan=1 colspan=1>CONTRAN(kg)</td></tr><tr><td rowspan=1 colspan=1>Eixo dianteiro</td><td rowspan=1 colspan=1>2.966</td><td rowspan=1 colspan=1>3.650</td><td rowspan=1 colspan=1>6.000</td></tr><tr><td rowspan=1 colspan=1>Eixo traseiro</td><td rowspan=1 colspan=1>4.474</td><td rowspan=1 colspan=1>8.150</td><td rowspan=1 colspan=1>10.000</td></tr><tr><td rowspan=1 colspan=1>Total</td><td rowspan=1 colspan=1>7.440</td><td rowspan=1 colspan=1>11.800</td><td rowspan=1 colspan=1>16.000</td></tr></table>,665,31c09c6d92f6710149776c78dce50432ad53ea940064bf1b4d4864a9f5c4bbbc.jpg,"[194, 681, 403, 754]"
gdi_0685,GDI_0685.pdf,para_blocks,6,7,3,table,0.9877,,<table><tr><td></td><td>Limeira</td><td>Mairiporã</td></tr><tr><td>Número de dias em movimento</td><td>32</td><td>40</td></tr><tr><td>Distância total percorrida (km)</td><td>1.588</td><td>1.855</td></tr><tr><td>Distância média percorrida (km/dia)</td><td>49</td><td>46</td></tr><tr><td>Distância máxima percorrida (km/dia)</td><td>103</td><td>210</td></tr><tr><td>Tempo total ignição ligada (h)</td><td>368h 29min</td><td>405h</td></tr><tr><td>Tempo médio ignição ligada (h/dia)</td><td>9h 41min</td><td>8h 16min</td></tr><tr><td>Tempo máximo ignição ligada (h/dia)</td><td>23h 59min</td><td>17h 52min</td></tr><tr><td>Tempo total em movimento (h)</td><td>56h 16min</td><td>94h</td></tr><tr><td>Tempo médio em movimento (h/dia)</td><td>1h 47min</td><td>2h 20min</td></tr><tr><td>Tempo máximo em movimento (h/dia)</td><td>3h 32min</td><td>4h 35min</td></tr></table>,864,a5eb75c41200c35f68490963e723cae78c38c6d21aa0c2bb717b2b7d4c5b519a.jpg,"[93, 98, 504, 215]"
ggh9,GGH9.pdf,preproc_blocks,5,6,8,table,0.9877,,<table><tr><td rowspan=1 colspan=1>ESCOPO“b”</td><td rowspan=1 colspan=1>ESCOPO “C”APÓS AVALIAÇÃO DACONDIÇÃO E &quot;Pit Stop&quot;</td></tr><tr><td rowspan=1 colspan=1>Carcaça</td><td rowspan=1 colspan=1>Carcaça</td></tr><tr><td rowspan=1 colspan=1>Núcleo e Enrolamento</td><td rowspan=1 colspan=1>Núcleo e Enrolamento</td></tr><tr><td rowspan=1 colspan=1>Trocadores de calor</td><td rowspan=1 colspan=1>Trocadores de calor</td></tr><tr><td rowspan=1 colspan=1>Ventilador</td><td rowspan=1 colspan=1>Ventilador</td></tr><tr><td rowspan=1 colspan=1>Rotor com Pólos</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Mancais</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Sistema de Excitação</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Sistemas auxiliares relacionados</td><td rowspan=1 colspan=1>Não necessário</td></tr></table>,927,20545a34cec47b78d597a4ea5dc7323871094f252d694590eca2045513608c61.jpg,"[109, 554, 488, 657]"
ggh9,GGH9.pdf,preproc_blocks,6,7,8,table,0.9884,,"<table><tr><td>PLANTA</td><td>ESCOPO</td><td>TEMPO DA PARADA SEM &quot;Pit Stop”</td><td>TEMPO DA PARADA COM “Pit Stop&quot;</td><td>ILUSTRAÇÃO</td></tr><tr><td>Rocky Reach Canadá Gerador, 120 MVA,</td><td>Reabilitação incluindo um novo estator e um novo rotor, ao invés de considerar reforma de peças existentes.</td><td>120 dias</td><td>45 dias</td><td></td></tr><tr><td>Svartisen, Noruega Gerador, 410 MVA,</td><td>Sinistro severo de descarga atmosférica no gerador. “Pit Stop” considerou a reinstalação do enrolamento do estator em novo núcleo ao invés de reforma.</td><td>95 dias</td><td>25 dias</td><td></td></tr></table>",627,2b2f97ca48af84c231330dc35a6fa1d1525371608d27bf84f26abae2928d0aca.jpg,"[70, 531, 527, 699]"
ggh9,GGH9.pdf,para_blocks,5,6,8,table,0.9877,,<table><tr><td rowspan=1 colspan=1>ESCOPO“b”</td><td rowspan=1 colspan=1>ESCOPO “C”APÓS AVALIAÇÃO DACONDIÇÃO E &quot;Pit Stop&quot;</td></tr><tr><td rowspan=1 colspan=1>Carcaça</td><td rowspan=1 colspan=1>Carcaça</td></tr><tr><td rowspan=1 colspan=1>Núcleo e Enrolamento</td><td rowspan=1 colspan=1>Núcleo e Enrolamento</td></tr><tr><td rowspan=1 colspan=1>Trocadores de calor</td><td rowspan=1 colspan=1>Trocadores de calor</td></tr><tr><td rowspan=1 colspan=1>Ventilador</td><td rowspan=1 colspan=1>Ventilador</td></tr><tr><td rowspan=1 colspan=1>Rotor com Pólos</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Mancais</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Sistema de Excitação</td><td rowspan=1 colspan=1>Não necessário</td></tr><tr><td rowspan=1 colspan=1>Sistemas auxiliares relacionados</td><td rowspan=1 colspan=1>Não necessário</td></tr></table>,927,20545a34cec47b78d597a4ea5dc7323871094f252d694590eca2045513608c61.jpg,"[109, 554, 488, 657]"
ggh9,GGH9.pdf,para_blocks,6,7,8,table,0.9884,,"<table><tr><td>PLANTA</td><td>ESCOPO</td><td>TEMPO DA PARADA SEM &quot;Pit Stop”</td><td>TEMPO DA PARADA COM “Pit Stop&quot;</td><td>ILUSTRAÇÃO</td></tr><tr><td>Rocky Reach Canadá Gerador, 120 MVA,</td><td>Reabilitação incluindo um novo estator e um novo rotor, ao invés de considerar reforma de peças existentes.</td><td>120 dias</td><td>45 dias</td><td></td></tr><tr><td>Svartisen, Noruega Gerador, 410 MVA,</td><td>Sinistro severo de descarga atmosférica no gerador. “Pit Stop” considerou a reinstalação do enrolamento do estator em novo núcleo ao invés de reforma.</td><td>95 dias</td><td>25 dias</td><td></td></tr></table>",627,2b2f97ca48af84c231330dc35a6fa1d1525371608d27bf84f26abae2928d0aca.jpg,"[70, 531, 527, 699]"
ggt_1247,GGT_1247.pdf,preproc_blocks,1,2,9,table,0.9892,,"<table><tr><td>Nome do Projeto</td><td>Responsável</td><td>País</td><td>Ano</td><td>Foco</td></tr><tr><td>HIGGS</td><td>EU/FCH JU</td><td>Europa</td><td>2020-2022</td><td>Impactos do hidrogênio na rede de gás natural existente</td></tr><tr><td>THyGA</td><td>EU/FCH JU</td><td>Europa</td><td>2020-hoje</td><td>Características da combustão para uso doméstico e comercial</td></tr><tr><td>Hy4Heat</td><td>BEIS</td><td>Inglaterra</td><td>2017- hoje</td><td>Análise de viabilidade</td></tr><tr><td>HyDeploy</td><td>Keele</td><td>Inglaterra</td><td>2017-2020</td><td>Demonstração ao vivo de hidrogênio em casas</td></tr><tr><td>HyGRID</td><td>EU/FCH JU</td><td>Holanda</td><td>2016- hoje</td><td>Separação do hidrogênio do gás natural por membrānas</td></tr><tr><td>HYREADY</td><td>DNV GL</td><td>Noruega</td><td>2016- hoje</td><td>Guias para preparação da transição para H2</td></tr><tr><td>GRHYD</td><td>ENGIE</td><td>França</td><td>2014- hoje</td><td>Injeção de hidrogênio na rede de gás natural local</td></tr><tr><td>MATHRYCE</td><td>EU/FCH JU</td><td>França</td><td>2012-2015</td><td>Teste de material e recomendações para componentes de hidrogênio sob fadiga</td></tr><tr><td>DomHydro</td><td>GERG</td><td>Europa</td><td>2013-2014</td><td>Análise de viabilidade técnica</td></tr><tr><td>H2-Tolerance</td><td>DVGW</td><td>Alemanha</td><td>2012-2014</td><td>Tolerânica e mensuração de energia</td></tr><tr><td>HIPS</td><td>DBI</td><td>Alemanha</td><td>2011-2013</td><td>Análise do estado da arte</td></tr><tr><td>GasQUAL</td><td>DGC</td><td>Dinamarca</td><td>2009-2013</td><td>Avalias os impactos da qualidade do gás</td></tr><tr><td>Energy Storage Concepts</td><td>DVGW</td><td>Alemanha</td><td>2010-2012</td><td>Análise do estado da arte, desenvolvimento e conceitos técnicos</td></tr></table>",1794,637131c1fea824342bf4899fbe495a4032e2d5e334a35a2056b420de7c6df51e.jpg,"[76, 487, 521, 746]"
ggt_1247,GGT_1247.pdf,preproc_blocks,2,3,2,table,0.9592,,"<table><tr><td>Ameland</td><td>GasTerra/Kiwa</td><td>Holanda</td><td>2007-2011</td><td>Demonstração e uso final</td></tr><tr><td>Naturalhy</td><td>Gaz de France</td><td>França</td><td>2004-2009</td><td>Dutos, uso final e segurança</td></tr></table>",248,51bb395b4dffc25e9b7035d41df1a037d6d82dcf1ccc01e3d10bab187280685d.jpg,"[76, 88, 521, 117]"
