document_id,filename,middle_path,block_collection,page_index,page_number,block_index,block_type,level,score,line_count,span_count,text,text_length,has_bbox,has_bbox_fs,lines_deleted,has_blocks,has_image_path,has_html,has_latex,x0,y0,x1,y1,width,height,area
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,3,title,1.0,0.9462,1,1,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI,49,True,False,False,False,False,False,False,164.0,136.0,425.0,149.0,261.0,13.0,3393.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,4,title,1.0,0.9652,2,2,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO,107,True,False,False,False,False,False,False,74.0,167.0,515.0,190.0,441.0,23.0,10143.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,6,title,2.0,0.9274,1,1,RESUMO,6,True,False,False,False,False,False,False,65.0,281.0,109.0,293.0,44.0,12.0,528.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,8,title,2.0,0.9336,1,1,PALAVRAS-CHAVE,14,True,False,False,False,False,False,False,65.0,366.0,150.0,378.0,85.0,12.0,1020.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,10,title,2.0,0.9376,1,1,1.0 INTRODUÇÃO,14,True,False,False,False,False,False,False,66.0,403.0,145.0,415.0,79.0,12.0,948.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,0,1,14,title,2.0,0.9397,1,1,2.0 DESENVOLVIMENTO,19,True,False,False,False,False,False,False,65.0,628.0,174.0,640.0,109.0,12.0,1308.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,2,3,3,title,2.0,0.9477,1,1,2.1.1 Desenvolvimento de PTO (power take off),45,True,False,False,False,False,False,False,65.0,115.0,259.0,127.0,194.0,12.0,2328.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,2,3,7,title,2.0,0.9467,1,1,2.2 Sistema embarcado para recargas de oportunidade,51,True,False,False,False,False,False,False,65.0,330.0,290.0,342.0,225.0,12.0,2700.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,3,4,5,title,2.0,0.9516,1,1,2.3 Fabricação e implementação,30,True,False,False,False,False,False,False,65.0,286.0,200.0,298.0,135.0,12.0,1620.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,4,5,5,title,2.0,0.9327,1,1,2.4 TESTES,10,True,False,False,False,False,False,False,65.0,343.0,119.0,354.0,54.0,11.0,594.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,5,6,2,title,2.0,0.9487,1,1,2.5 MONITORAMENTO OPERAÇÂO,26,True,False,False,False,False,False,False,65.0,84.0,219.0,96.0,154.0,12.0,1848.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,6,7,6,title,2.0,0.9367,1,1,3.0 CONCLUSÃO,13,True,False,False,False,False,False,False,65.0,319.0,141.0,331.0,76.0,12.0,912.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,6,7,10,title,2.0,0.9427,1,1,4.0 AGRADECIMENTOS,18,True,False,False,False,False,False,False,65.0,534.0,170.0,546.0,105.0,12.0,1260.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,6,7,12,title,2.0,0.9348,1,1,REFERÊNCIAS,11,True,False,False,False,False,False,False,65.0,622.0,133.0,635.0,68.0,13.0,884.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,preproc_blocks,8,9,2,title,2.0,0.8905,1,1,DADOS BIOGRÁFICOS,17,True,False,False,False,False,False,False,65.0,83.0,166.0,96.0,101.0,13.0,1313.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,para_blocks,0,1,3,title,1.0,0.9462,1,1,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI,49,True,False,False,False,False,False,False,164.0,136.0,425.0,149.0,261.0,13.0,3393.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,para_blocks,0,1,4,title,1.0,0.9652,2,2,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO,107,True,False,False,False,False,False,False,74.0,167.0,515.0,190.0,441.0,23.0,10143.0
gdi_0685,GDI_0685.pdf,D:\baseia_v3\artifacts\mineru\smoke\90d74e349676936f\GDI_0685\auto\GDI_0685_middle.json,para_blocks,0,1,6,title,2.0,0.9274,1,1,RESUMO,6,True,False,False,False,False,False,False,65.0,281.0,109.0,293.0,44.0,12.0,528.0
